ACTIVITY,ALogP98,ES_Sum_dO,ES_Sum_sCH3,ES_Sum_ssCH2,Molecular_Solubility,HBA_Count,NPlusO_Count,Num_Atoms,Num_Hydrogens,Num_RotatableBonds,Num_DoubleBonds,Num_AliphaticDoubleBonds,Molecular_FractionalPolarSurfaceArea,BIC,IAC_Mean,IC,JX
0,1.727,9.545,2.112,3.891,-1.426,1,2,8,12,5,1,1,0.192,0.80187,1.29546,2.40563,2.48313
0,4.297,11.147,4.315,9.135,-3.901,2,2,14,24,10,1,1,0.112,0.59646,1.16743,2.27094,3.00788
0,3.841,11.058,4.273,7.806,-3.391,2,2,13,22,9,1,1,0.12,0.63393,1.18181,2.34585,2.99049
0,1.846,10.591,2.168,5.207,-1.794,3,3,12,16,4,1,1,0.195,0.77163,1.33291,2.85538,1.9442
0,3.17,0.0,4.375,5.457,-2.995,0,0,8,14,5,0,0,0.302,0.53431,1.24067,1.5,2.39356
0,4.753,11.216,4.344,10.504,-4.423,2,2,15,26,11,1,1,0.105,0.56228,1.15469,2.19679,3.01752
0,2.767,0.0,3.675,0.0,-2.933,1,1,11,12,2,4,1,0.056,0.69931,1.20883,2.73215,2.77361
0,0.404,10.179,1.768,0.45,-0.327,2,2,7,6,0,2,2,0.264,0.88562,1.46048,2.80735,2.44525
0,1.813,0.0,1.662,0.0,-1.448,1,1,8,8,1,3,0,0.079,0.62311,1.27178,2.15563,2.75587
0,1.588,10.493,3.004,0.318,-2.253,3,3,13,12,4,4,1,0.187,0.67948,1.4041,2.77736,2.43515
0,1.209,0.0,1.618,0.087,-1.414,1,2,10,10,2,3,0,0.199,0.51937,1.36096,1.92192,2.7172
0,1.509,9.854,1.608,0.312,-1.918,2,3,12,10,4,4,1,0.207,0.6879,1.43654,2.75162,2.47461
0,3.287,11.661,1.619,0.589,-4.209,3,3,19,16,6,7,1,0.138,0.5943,1.33628,2.82584,1.76872
0,2.255,10.861,3.391,0.742,-2.52,3,3,14,14,5,4,1,0.172,0.63897,1.37479,2.66449,2.37562
0,-2.28,9.763,0.0,-0.689,0.255,1,5,10,10,4,1,1,0.619,0.79665,1.5,2.64643,3.56147
0,-2.412,10.532,0.0,-0.672,-0.089,2,6,12,7,2,2,2,0.647,0.89781,1.58103,3.41829,2.61088
0,-5.254,19.719,0.0,-0.422,-0.087,0,5,9,6,3,2,2,0.719,0.82045,1.80623,2.72548,3.4049
0,1.571,0.0,1.522,0.0,-1.044,1,2,9,8,1,3,0,0.226,0.76025,1.40208,2.72548,2.89677
0,1.702,0.0,3.252,0.0,-1.933,2,2,11,12,3,3,0,0.111,0.65182,1.32578,2.48171,2.62914
0,0.644,0.0,0.0,-0.478,-1.695,0,3,13,12,3,4,1,0.327,0.77819,1.4041,3.18083,2.69733
0,1.898,0.0,2.016,0.694,-1.844,2,2,12,12,1,3,0,0.114,0.71384,1.32501,2.85538,2.03176
0,1.678,0.0,0.0,0.0,-0.9,0,0,7,5,0,3,0,0.209,0.5546,1.32501,1.84237,2.98321
0,3.234,11.846,0.0,0.0,-3.582,1,1,14,10,2,7,1,0.095,0.44517,1.19642,1.98522,2.32631
0,2.264,0.0,0.0,0.0,-2.617,1,1,9,5,0,4,0,0.33,0.39174,1.57441,1.53049,2.85802
0,2.004,20.326,1.309,0.229,-2.393,3,3,14,11,5,5,2,0.308,0.71544,1.40936,3.03914,2.25507
0,1.225,0.0,0.0,0.139,-1.24,0,1,8,8,1,3,0,0.175,0.62311,1.27178,2.15563,2.80101
0,3.268,11.595,0.0,0.314,-3.729,2,2,16,12,4,7,1,0.126,0.52468,1.29583,2.40563,1.89529
0,2.962,0.0,2.172,3.993,-3.258,1,1,12,16,5,3,0,0.05,0.67209,1.16257,2.62581,2.10794
0,2.727,10.994,1.962,1.736,-2.761,2,2,13,14,5,4,1,0.139,0.6887,1.29723,2.81507,2.23681
0,3.736,11.48,0.0,0.304,-4.724,2,2,18,14,5,8,2,0.111,0.55555,1.27178,2.6416,1.80052
0,3.597,11.477,5.584,0.337,-3.22,2,2,15,16,4,5,2,0.117,0.69557,1.27336,3.00623,2.45061
0,4.552,0.0,0.0,2.163,-5.605,0,0,16,14,5,6,0,0.214,0.47653,1.28669,2.15563,1.65061
0,1.982,0.0,2.002,1.52,-2.268,1,1,10,12,3,3,0,0.061,0.71516,1.20721,2.64643,2.37126
0,1.525,9.755,0.0,0.365,-1.754,1,2,10,8,3,4,1,0.189,0.69508,1.39214,2.64643,2.42147
0,4.093,11.778,4.161,3.541,-4.221,1,1,15,20,6,4,1,0.075,0.78231,1.13666,3.32323,2.55312
0,3.64,11.268,2.12,4.1,-3.701,2,2,15,18,7,4,1,0.118,0.70769,1.25153,3.00623,2.10592
0,2.733,11.093,3.653,0.372,-2.737,2,2,13,14,4,4,1,0.137,0.70291,1.29723,2.87314,2.32281
0,2.979,11.204,4.007,0.874,-3.043,2,2,14,16,5,4,1,0.127,0.72882,1.2729,3.03914,2.23742
0,2.196,0.0,0.0,0.834,-1.085,0,0,8,8,1,3,0,0.296,0.62311,1.27178,2.15563,2.80659
0,1.532,0.0,3.539,1.736,-2.69,3,3,15,18,7,3,0,0.121,0.76497,1.32217,3.18989,2.03297
0,2.378,0.0,2.118,1.125,-2.743,0,0,9,10,2,3,0,0.174,0.67486,1.23638,2.41938,2.56948
0,3.303,11.563,0.0,0.666,-4.064,2,2,17,14,5,7,1,0.117,0.53172,1.27979,2.46924,1.78051
0,2.271,10.762,1.785,0.819,-2.363,2,2,12,12,4,4,1,0.151,0.71384,1.32501,2.85538,2.30777
0,3.026,11.656,0.0,0.202,-3.252,2,3,17,12,4,7,1,0.21,0.60645,1.37255,2.8163,1.95067
0,1.916,10.683,5.338,0.448,-1.381,2,2,9,12,3,2,2,0.17,0.95424,1.31274,3.16992,3.56078
0,3.348,0.0,0.0,0.0,-3.679,0,0,12,10,1,6,0,0.0,0.34349,0.99403,1.45914,2.45714
0,1.975,0.0,6.895,3.607,-2.359,0,1,11,18,0,0,0,0.118,0.8444,1.12425,3.02716,2.37598
0,2.354,11.007,8.456,3.59,-3.119,2,2,14,20,2,1,1,0.123,0.77326,1.22104,3.09306,2.17531
0,2.275,10.368,6.908,3.59,-2.808,1,2,13,18,2,1,1,0.135,0.77478,1.24089,3.02698,2.21963
0,3.729,11.816,11.135,4.149,-4.09,2,2,17,26,4,1,1,0.1,0.81329,1.17475,3.45482,1.98669
0,1.946,0.0,2.105,2.006,0.67,0,0,6,10,2,0,0,0.549,0.82616,1.29879,1.91829,2.65081
